"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/README.md", "Markdown", 0, 0, 257, 0, 0, 0, 0, 179, 436
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/config/db.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/adminsController.js", "JavaScript", 0, 290, 0, 0, 0, 0, 46, 77, 413
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/answerController.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 38, 64
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/corporateTraineeController.js", "JavaScript", 0, 330, 0, 0, 0, 0, 13, 56, 399
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/countriesController.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/coursesController.js", "JavaScript", 0, 325, 0, 0, 0, 0, 32, 61, 418
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/examsController.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 33, 150
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/guestsController.js", "JavaScript", 0, 52, 0, 0, 0, 0, 12, 21, 85
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/individualTraineeController.js", "JavaScript", 0, 468, 0, 0, 0, 0, 18, 85, 571
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/instructorsController.js", "JavaScript", 0, 297, 0, 0, 0, 0, 82, 104, 483
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/reportsController.js", "JavaScript", 0, 103, 0, 0, 0, 0, 1, 40, 144
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/reviewsController.js", "JavaScript", 0, 99, 0, 0, 0, 0, 1, 40, 140
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/AdminAuthMiddleware.js", "JavaScript", 0, 28, 0, 0, 0, 0, 20, 15, 63
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/CorpTraineeAuthMiddleware.js", "JavaScript", 0, 19, 0, 0, 0, 0, 15, 9, 43
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/IndivTraineeAuthMiddleware.js", "JavaScript", 0, 19, 0, 0, 0, 0, 16, 13, 48
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/InstructorAuthMiddleware.js", "JavaScript", 0, 20, 0, 0, 0, 0, 11, 11, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/errorMiddleware.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/upload.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 9, 38
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/CReviewModel.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/IReviewModel.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/adminsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 10, 25
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/answersModel.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 8, 28
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/corporateTraineeModel.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 7, 46
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/corpregistercourse.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/countriesModel.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 7, 15
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/coursesModel.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 13, 63
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/examModel.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 8, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/guestsModel.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 6, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/individualTraineeModel.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 7, 47
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/indvtraineeregistercourse.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/instructorsModel.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/reportcommentsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/reportsModel.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/subtopicsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/adminsRoutes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 19, 42
